accountname,message,description,imageText,message_translation,description_translation,imageText_translation,link
Bharat Trend,"जब अमीर खान की बेटी को महज 14 साल की उम्र में यह आदमी ले जाता था बेडरूम? सीने से लगाकर करता था…, देखें वीडियो",बॉलीवुड के अभिनेता आमिर खान जोकि जाने-माने अभिनेता है वही उनकी बेटी इरा खान भी अक्सर ही सूरत में रहती हैं वही ऐसे मे...,,When this man took the rich mine's daughter to school at 14 years of age?,"The Bangywood actor Amir Khan, who is an actor, is also the same as his daughter Yaira Khan, who lives in that very very background...",But what about you?,https://appearnews.com/when-this-man-used-to-take-aamir-khans-daughter-to-the-bedroom-at-the-age-of-14-used-to-do-it-with-chest-watch-video/
IndiaVirals,"जब अमीर खान की बेटी को महज 14 साल की उम्र में यह आदमी ले जाता था बेडरूम? सीने से लगाकर करता था…, देखें वीडियो",बॉलीवुड के अभिनेता आमिर खान जोकि जाने-माने अभिनेता है वही उनकी बेटी इरा खान भी अक्सर ही सूरत में रहती हैं वही ऐसे मे...,,When this man took the rich mine's daughter to school at 14 years of age?,"The Bangywood actor Amir Khan, who is an actor, is also the same as his daughter Yaira Khan, who lives in that very very background...",But what about you?,https://appearnews.com/when-this-man-used-to-take-aamir-khans-daughter-to-the-bedroom-at-the-age-of-14-used-to-do-it-with-chest-watch-video/
True Nationalist,"जब अमीर खान की बेटी को महज 14 साल की उम्र में यह आदमी ले जाता था बेडरूम? सीने से लगाकर करता था…, देखें वीडियो",बॉलीवुड के अभिनेता आमिर खान जोकि जाने-माने अभिनेता है वही उनकी बेटी इरा खान भी अक्सर ही सूरत में रहती हैं वही ऐसे मे...,,When this man took the rich mine's daughter to school at 14 years of age?,"The Bangywood actor Amir Khan, who is an actor, is also the same as his daughter Yaira Khan, who lives in that very very background...",But what about you?,https://appearnews.com/when-this-man-used-to-take-aamir-khans-daughter-to-the-bedroom-at-the-age-of-14-used-to-do-it-with-chest-watch-video/
Sanatan Press,"जब अमीर खान की बेटी को महज 14 साल की उम्र में यह आदमी ले जाता था बेडरूम? सीने से लगाकर करता था…, देखें वीडियो",बॉलीवुड के अभिनेता आमिर खान जोकि जाने-माने अभिनेता है वही उनकी बेटी इरा खान भी अक्सर ही सूरत में रहती हैं वही ऐसे मे...,,When this man took the rich mine's daughter to school at 14 years of age?,"The Bangywood actor Amir Khan, who is an actor, is also the same as his daughter Yaira Khan, who lives in that very very background...",But what about you?,https://appearnews.com/when-this-man-used-to-take-aamir-khans-daughter-to-the-bedroom-at-the-age-of-14-used-to-do-it-with-chest-watch-video/
Pushpendra Kulshrestha fans,,भारत के इतिहास में इस जघन्य अपराध को छुपाया गया...विडियो शेर ज़रुर करे...,,But what about you?,In India's history this jously crime has been hidden...,But what about you?,https://www.facebook.com/PushpendraKulshresthaDelhi/videos/216066046319072/
Pushpendra Kulshrestha fans,,Listen the Holy Preaching,,But what about you?,"No, I'm not sure.",But what about you?,https://www.facebook.com/TheAshwiniUpadhyay/videos/2912535499029750/
Sudarshan News,"3 दिवसीय यात्रा पर केरल पहुंचे एस. जयशंकर, बोले- आज का भारत चुनौतियों का समाधान निकालने में सक्षम #SJaishankar #KeralaNews",जयशंकर अपनी तीन दिवसीय यात्रा केरल पहुंचे हैं. केरल में विदेश मंत्री ने कहा कि हम वो देश हैं जिसने अपनी खुद की वैक्स...,,"On a 3th trip to Kerals, S. Jayanma, speaking -- today able to solve India's challenges #SJishankakar #Ker",Jayahar has his three - day trip to Kerala. The foreign minister in Kerala said that we are a country that has become his own government...,But what about you?,https://www.sudarshannews.in/dr-s-jaishankar-in-kerala-65665-newsdetails.aspx
We Support Hindutva,इस बार सूची में कई बड़े बदलाव हुए हैं!,दुनिया के टॉप-10 अमीरों की सूची में बड़ा बदलाव हुआ है। अब इस सूची से भारत के अरबपति मुकेश अंबानी बाहर हो गए हैं। इसके .....,,"This time, there have been significant changes in the list!",There's a big change in the list of top-10 rich people in the world.,But what about you?,https://tfipost.in/2022/07/mukesh-ambani-out-from-top-10-billionaires-list/
Suresh Norva,उदयपुर की घटना के बाद कुर्बानी जैसे सब्दो का प्रयोग नहीं करना चाहिए मुख्यमंत्री जी का ट्वीट निंदनीय है।,,"Ashok Gehlot @asho... 8ł ईद-उल-अजहा के मौके पर मुबारकबाद| ईद-उल-अजहा का त्यौहार हमें भाईचारे के साथ रहने, के जज्बात की कद्र करने, आपस में हमदर्दी रखने और सच्चाई की राह पर चलते हुए अपने देश के लिए हर कुर्बानी देने की सीख देता है| 888 × 1,506 9,337","After the incident of the U.S.A., all shouldn't use such a sacrifice as the chief G is unhinderable.",But what about you?,"Ashakh Gohlot... on the 8th Aul-Aus-ul-ae, the occasion of Eidul-ul-ul-e, the occasion of our stay with the brotherhood, the attention of the audience, the empathy of each other, and the way to the truth, learn how to present every sacrifice to our country",https://www.facebook.com/photo.php?fbid=585218809828639&set=a.533823428301511&type=3
Love jihad लव जिहाद,,,"Anand Ranganathan @ARanganathan72 Ajmer Dargah whose Sarwar Chishti said he will make India tremble through his upcoming agitation; whose Gauhar Chishti met Udaipur killers; whose Salman Chishti announced a reward for beheading Nupur- has an annual income of Rs 200 crores, majorly through donations by Hindus. 11:57 pm 07 Jul 22 Twitter Web App",But what about you?,But what about you?,Anand Raangananenan - AJAZLIZZHAZHAZHAZZHASSSH: It is possible to make the Society's autographing tool; it's based on Gürenchttture Meda ransomers; which is the means by which Szeishnchan's healer's blood can be released under the control of the program of the program.,https://www.facebook.com/photo.php?fbid=432499288891253&set=a.146597190814799&type=3
CyberSipahi,"Date: 21-June-2022 Place: Amravati, Maharashtra Victim: Umesh Prahladrao Kolhe (54 years) Accused: Muddasar Ahmad (22), Shahrukh Pathan (25), Abdul Taufiq (24) Shoaib Khan (22), Atib Rashid (22) and Yusuf Khan (32) and Shaikh Irfan Shaikh Rahim. Islamists stabbed a knife in back of his neck. Kolhe immediately passed away from massive bleeding. _______________________________________________________ Date: 28-June-2022 Place: Udaypur, Rajasthan Victim: Kanhaiyalal Tailor Accused: Two Islamists Mohammad Riyaz and Ghouse Mohammad (दावत-ए-इस्लामी) मंगलवार दोपहर को कन्हैयालाल उदयपुर के व्यस्त धानमंडी बाज़ार में अपनी दुकान पर मौजूद थे जहां दो जिहादियों ने उनकी गला रेतकर हत्या कर दी। _________________________________________________ Date: 28-June-2022 Place: Lambhua, Sultanpur UP Victim: Shakuntala Maurya (50 Years) and daughter Vijaylakshmi (22) Accused: Islamist Irfan and others. Shakuntala 50 and daughter Vijaylakshmi 22 were murdered by irfan using a sharp-edged weapon in their home in broad daylight. _________________________________________________ Date: 2-July-2022 (26-June-22) Place: Pilokhadi, Jagriti BIhar, Sector-6, Meerut, UP Victim: Yash Rastogi (21 Years) Accused: Islamist Gay friends: Imran, Shavej Khan, Ali and Salman Yash was murdered by his gay Muslim pals after his homosexual rape, who then sliced up and dumped his lifeless body into a sewer close to Pilokhadi On 26 June, 2022. ___________________________________________________ Date: 7-July-2022 Place: Golapur, Canning, South 24 Parganas district, West Bengal. Victim: Swapan Manjhi, Jhantu Halder and Bhootnath Pramanik Accused: Rafiqul Sardar, Basir Sheikh, Bapi Mondal, Ebayadullah Mondal, Ali Hosain Naskar and Jalaluddin Akhand (Trinamool Congress Leader) The three Hindus were killed by ‘party worker’ Rafikul in Canning. TMC के रफीकुल ने अपनी ही पार्टी के नेता को मार डाला, 2 सहयोगियों की भी हत्या. Random Unceasing Low Level Scattered Violence by the Islamists against Hindus. यानि मोमेनीन द्वारा हिंदुओं के खिलाफ अचानक लेकिन लगातार निम्न स्तर की बिखरी हुई हिंसा। एक ऐसी हिंसा जिस पर ज़्यादातर हिंदुओं का ध्यान नहीं जाता या फिर सेक्युलर हिन्दू जिसकी परवाह नहीं करता। जिहादियों द्वारा लगभग हर 4 दिन में एक हिन्दू बेमौत मारा जा रहा है। हिन्दू एक अघोषित युद्ध में है मगर उदासीनता, कायरता और बेशर्मी का आलम ये है के मूर्ख हिन्दू और दलाल मीडिया ना तो इस पर कभी चर्चा करता है और न ही किसी हिन्दू की मौत पर अफसोस। हिंदुओं! सत्ताओं की गुलामी छोड़ो! हिन्दुओ तुम्हारी नेताओ के प्रति ये वफादारी कल तुम्हारी नस्लो का काल बनेगी। पूरव से पश्चिम तक और उत्तर से दक्षिण तक कहीं भी हिन्दू का अहित हो तुम्हें फर्क पड़ना चाहिए।",,,"1958: 21-Jemo-202 Place: Almari_Magupomo_Mago_Magoo_deo_dedeo_dedeo_deododododododododododododododddddddo (def)), Semitococ_deo_deo_deo_deo_deo_deo_deo_deo_deodo_deo_deodoodo_Magoodo_do_Mago_Magoo_Mago_Magooo_Mo_Mago_Magoo_Mooooo_Mo_Mooooooooooooooo_dodoodoooo_do_do_Modoodoooooo_do_do_Mooo_Mo_Moo_Mo_do_doooooooo_Mo_Moooooo_do_Malo_Mo_Mo_Mo_Moooo_Mo_Moo_Mo_Mododooooooooodoodooo_Modo_Modoodoogam_Mo_Modoo_Modoodoodoodooodoo_Mal_Mo_Mo_Mo_Mo_Mo_Mo_Mo_Mo_Mo_Mal_Mal_Mo_Mo_Mal_Mal_Mal_Modo_Mo_Mo_Mo_Mo_M_M_M_Mo_Mom_Mal_Mal_Mom_Mo_Mo_Mo_Moooodo_Mo_Mootom_M_M_M_Mo_Mo_Mo_Mo_Mo_Modo_Mo_Mo_Mo_Mooooooo_Mo_Moooo_Mo_Mo_Mo_M",But what about you?,But what about you?,https://www.facebook.com/cybersipahibackup/videos/764223211370823/
Kattar Hindu Mahakaal,बिजनौर के जाकिर सदाबहार होटल में थूक लगाकर रोटी बनाने का वीडियो वायरल होने के बाद पुलिस ने रोटी बनाने वाले आरोपी युवक अरबाज को गिरफ्तार कर लिया है होटल मालिक जाकिर का कहना है कि ये उसका काम करने का स्टाइल है,,,"After spitting in the everlasting hotel of Billander and making a video of bread, the police have arrested the prime minister of making bread. The hotel owner says that he is a style of work.",But what about you?,But what about you?,https://www.facebook.com/khm30921/videos/2253409678170245/
Pushpendra Kulshrestha Fans Club,"जब अमीर खान की बेटी को महज 14 साल की उम्र में यह आदमी ले जाता था बेडरूम? सीने से लगाकर करता था..., देखें वीडियो",बॉलीवुड के अभिनेता आमिर खान जोकि जाने-माने अभिनेता है वही उनकी बेटी इरा खान भी अक्सर ही सूरत में रहती हैं वही ऐसे मे...,,When this man took the rich mine's daughter to school at 14 years of age?,"The Bangywood actor Amir Khan, who is an actor, is also the same as his daughter Yaira Khan, who lives in that very very background...",But what about you?,https://appearnews.com/when-this-man-used-to-take-aamir-khans-daughter-to-the-bedroom-at-the-age-of-14-used-to-do-it-with-chest-watch-video/
पुष्पेन्द्र कुलश्रेष्ठ Fans,उत्तर भारत के सबसे बड़े मॉल लूलू मॉल । मालिक M A yusuf ali उद्घाटन का दिन बक़रीद। सुबह कितने बकरों की क़ुर्बानी के साथ ।। और उद्घाटन करेगा कोन हिंदू ह्रदय सम्राट योगी जी । और राजनाथ जी बोलने को ये लोग बोल देते है किसी गरीब दलित के घर भोजन कर लेना पर सर तन से जुदा वालों के यहाँ मत करना ।। कितने हिंदू भाइयों के यहाँ उद्घाटन में ये नहि गए पर लूलू मॉल ज़रूर जाएँगे क्योंकि बात वही है पैसे की ताक़त ।।और मॉल में काम करने के लिए सभी मुस्लिम बंदे होंगे ।जो मेन मॉल में होंगे ।।,,,The greatest shopping mall in North India. The owner of a ysautographian day with a number of goats. In the morning he will introduce himself to the Hindu Emperor G.,But what about you?,But what about you?,https://www.facebook.com/photo.php?fbid=584821633005373&set=a.357897705697768&type=3
Pushpendra Kulshrestha Fan Club,उत्तर भारत के सबसे बड़े मॉल लूलू मॉल । मालिक M A yusuf ali उद्घाटन का दिन बक़रीद। सुबह कितने बकरों की क़ुर्बानी के साथ ।। और उद्घाटन करेगा कोन हिंदू ह्रदय सम्राट योगी जी । और राजनाथ जी बोलने को ये लोग बोल देते है किसी गरीब दलित के घर भोजन कर लेना पर सर तन से जुदा वालों के यहाँ मत करना ।। कितने हिंदू भाइयों के यहाँ उद्घाटन में ये नहि गए पर लूलू मॉल ज़रूर जाएँगे क्योंकि बात वही है पैसे की ताक़त ।।और मॉल में काम करने के लिए सभी मुस्लिम बंदे होंगे ।जो मेन मॉल में होंगे ।।,,,The greatest shopping mall in North India. The owner of a ysautographian day with a number of goats. In the morning he will introduce himself to the Hindu Emperor G.,But what about you?,But what about you?,https://www.facebook.com/photo.php?fbid=580783216839783&set=a.369944491256991&type=3
Sudarshan News,"श्रीलंका में फंसे शरणार्थियों को लेकर विदेश मंत्री एस.जयशंकर का बयान आया सामने, जानें क्या बोले #SJaishankar #shirilanka",जयशंकर ने कहा कि हम श्रीलंका का बहुत समर्थन करते रहे हैं। हम मदद करने की कोशिश कर रहे हैं और जिस बात को लेकर वहां के न...,,In front of the foreign minister S.D. what he said #Jishishnar #Sylanka,He says we're doing a lot of support to Sri Lanka. We're trying to help and don't move with what...,But what about you?,https://www.sudarshannews.in/S-Jaishankar-on-Sri-Lanka-Crisis-65663-newsdetails.aspx
Pushpendra Kulshresth Fans,उत्तर भारत के सबसे बड़े मॉल लूलू मॉल । मालिक M A yusuf ali उद्घाटन का दिन बक़रीद। सुबह कितने बकरों की क़ुर्बानी के साथ ।। और उद्घाटन करेगा कोन हिंदू ह्रदय सम्राट योगी जी । और राजनाथ जी बोलने को ये लोग बोल देते है किसी गरीब दलित के घर भोजन कर लेना पर सर तन से जुदा वालों के यहाँ मत करना ।। कितने हिंदू भाइयों के यहाँ उद्घाटन में ये नहि गए पर लूलू मॉल ज़रूर जाएँगे क्योंकि बात वही है पैसे की ताक़त ।।और मॉल में काम करने के लिए सभी मुस्लिम बंदे होंगे ।जो मेन मॉल में होंगे ।।,,,The greatest shopping mall in North India. The owner of a ysautographian day with a number of goats. In the morning he will introduce himself to the Hindu Emperor G.,But what about you?,But what about you?,https://www.facebook.com/photo.php?fbid=159509126652261&set=a.159222480014259&type=3
Sudarshan News,Sudarshan News Live,,,Sudshan New Life,But what about you?,But what about you?,https://www.facebook.com/sudarshantvnews/videos/403111028288165/
Pushpendra Kulshresth Fans,भाईचारा गये तेल लेने .... मंदिरो के ग्रूप से जुड़ने के लिए और ऐसी पोस्ट पाने के लिए मंदिरो के ग्रूप से जुड़े नीचे लिंक पर क्लिक करे । https://www.facebook.com/groups/2712156265695481/?ref=share_group_link,,बंदरों ने कहा होगा भाईचारा गया तेल लेन Translate Tweet कुत्तों ने बंदर के बच्चे को मारा तो बंदरों ने 1 महीने में 250 कुत्ते मारे छले सिर्फ एक कुत्ता इराরर कपा,Associations to connect to groups of templeo and click the link below to obtain such posts. http://www.facebook.com/27695481/reu=pup_reputed,But what about you?,"The monkeys said there's been a brotherhood of oil Lane Tweet dogs killed the monkey's kid in the 1st month, so the monkeys killed 250 dogs in the middle of the month.",https://www.facebook.com/photo.php?fbid=159508466652327&set=a.159222480014259&type=3
Sudarshan News Marathi,ओबीसी आरक्षण संदर्भात राष्ट्रवादी काँग्रेसचे नेते छगन भुजबळ यांची पत्रकार परिषद #Live #maharashtra_Sadan,,,OBCIA ABCIA KENCHENCH KENENCHERWECHERWANN AFECY THE BASTASSCHOCHER ABCHCHCHOCHON KASON KAGHASCHERERWAN BASCHERNNASTASTA,But what about you?,But what about you?,https://www.facebook.com/SudarshanNewsMarathi/videos/1237639237092053/
Sudarshan News,"सुरेंद्र बन इमरान ने किया हिंदू युवती संग निकाह, फिर बनाई अश्लील वीडियो; वीडियो के चलते सरीता को बनाया सोनिया... बाद में बोला- खा अब मांस नहीं तो यहीं कर दूंगा तेरे को खल्लास #LoveJihad #UPPolice",इमरान नाम के जिहादी ने सुरेंद्र सिंह नाम रख एक धात्रा को प्रेम जाल में फंसाया और फिर जबरन धर्म परिवर्तन करवा कर निक....,,"A Hindu woman named Sudala married with a woman, and then made it an obscene video; she made it into video, and later she said, ""I'm going to do you eat meat right now.""","Absin, a battler, caught hold of a giant lion in love and then forced religion into changes....",But what about you?,https://www.sudarshannews.in/Surendra-made-Imran-married-Hindu-girl-then-made-porn-video-65656-newsdetails.aspx
Sonu Sood Fans Club,"बाहुबली की हिरोहीन की हो गई बेइज्जती अचानक से हवा में उड़ गई ड्रेस,दिख गया सबकुछ",साऊथ इंडियन अभिनेत्री तमन्ना भाटिया ने अपनी खूबसूरती से हर किसी को अपना दीवाना बनाया हुआ है एक्टर्स ने अपनी ग्लैम....,,"It has been unheeded by the strands of the boulder, everything flying from a sudden fly into the air,",Nassau Indian Indian Indian Indian Indian great beauty has made everyone mad by his beauty....,But what about you?,https://appearnews.com/bahubalis-heroine-was-insulted-suddenly-the-dress-flew-in-the-air-everything-was-seen/
पुष्पेंद्र कुलश्रेष्ठ फैंस क्लब,"आमिर खान की गर्लफ्रेंड फातिमा सना शेख बिना ब्याह रचाए बनने वाली है मां, लोगों ने आमिर खान पर लगाए घिनौने ….",बॉलीवुड की अभिनेत्री फातिमा सना शेख का बड़े सितारों में नाम गिना जाता है और उन्होंने बॉलीवुड में आमिर खान के साथ ड.....,,"Aamir Khan's girlfriend is going to be married without a husband and wife, people have committed a disgusting act on Aamir Khan..","Bhuiwood's analogian für da Shear is named in big stars, and he's called Amir Khan in Baliwood..............",But what about you?,https://appearnews.com/fatima-sana-shaikh-is-going-to-become-a-mother-without-getting-married/
Kusum singh,"आमिर खान की गर्लफ्रेंड फातिमा सना शेख बिना ब्याह रचाए बनने वाली है मां, लोगों ने आमिर खान पर लगाए घिनौने ….",बॉलीवुड की अभिनेत्री फातिमा सना शेख का बड़े सितारों में नाम गिना जाता है और उन्होंने बॉलीवुड में आमिर खान के साथ ड.....,,"Aamir Khan's girlfriend is going to be married without a husband and wife, people have committed a disgusting act on Aamir Khan..","Bhuiwood's analogian für da Shear is named in big stars, and he's called Amir Khan in Baliwood..............",But what about you?,https://appearnews.com/fatima-sana-shaikh-is-going-to-become-a-mother-without-getting-married/
Amit Shah Fans Team,"आमिर खान की गर्लफ्रेंड फातिमा सना शेख बिना ब्याह रचाए बनने वाली है मां, लोगों ने आमिर खान पर लगाए घिनौने ….",बॉलीवुड की अभिनेत्री फातिमा सना शेख का बड़े सितारों में नाम गिना जाता है और उन्होंने बॉलीवुड में आमिर खान के साथ ड.....,,"Aamir Khan's girlfriend is going to be married without a husband and wife, people have committed a disgusting act on Aamir Khan..","Bhuiwood's analogian für da Shear is named in big stars, and he's called Amir Khan in Baliwood..............",But what about you?,https://appearnews.com/fatima-sana-shaikh-is-going-to-become-a-mother-without-getting-married/
Sudarshan News,उमेश कोल्हे के समर्थन कर रहे सुरेश चव्हाणके जी को जिहादी आतंकियों की धमकी.... 11 जुलाई को करेंगे कोल्हे के परिवार के साथ जनसंवाद #maharashtra #umeshkolhe #SureshChavhanke #jansmvad #Amrawati,एनआईए की जांच में मामले में कई बड़े खुलासे हुए हैं। जांच में विदेशी साजिश के सबूत भी मिले हैं। मामले में सभी जिहादी आ...,,The fear of violent terrors being supported by the dangangla tacks.... July 11 will be going to be with the family of the Bruism #Mashkaschaftkaique #Sysaq,There's also evidence of foreign conspiracy in the case of NIA.,But what about you?,https://www.sudarshannews.in/Suresh-Chavhanke-ji-was-threatened-by-jihadi-terrorists-65658-newsdetails.aspx
"शाह है तो संभव है, मोदी है तो मुमकिन हैं",,,दोस्तों सऊदी अरब का एक भी असली मुस्लिम अजमेर में नहीं जाता लेकिन भारत का हिंदू ऐसे चादर चढ़ाता है जैसे उसके सगे बाप को ठंड लग रही हो,But what about you?,But what about you?,"Friends from Saudi Arabia don't go to a real Muslim Amer, but India's Hindu offers clothing like cold to his father",https://www.facebook.com/ShahHaiToSambhavHaiModiHaiToMumkinHai/photos/a.103493521154589/577821987055071/?type=3
Yogi Adityanath Fans Club,,,दोस्तों सऊदी अरब का एक भी असली मुस्लिम अजमेर में नहीं जाता लेकिन भारत का हिंदू ऐसे चादर चढ़ाता है जैसे उसके सगे बाप को ठंड लग रही हो,But what about you?,But what about you?,"Friends from Saudi Arabia don't go to a real Muslim Amer, but India's Hindu offers clothing like cold to his father",https://www.facebook.com/YogiAdityanathFansClub/photos/a.1799247383735582/3217159655277674/?type=3
Amit Shah Fans Team,,,दोस्तों सऊदी अरब का एक भी असली मुस्लिम अजमेर में नहीं जाता लेकिन भारत का हिंदू ऐसे चादर चढ़ाता है जैसे उसके सगे बाप को ठंड लग रही हो,But what about you?,But what about you?,"Friends from Saudi Arabia don't go to a real Muslim Amer, but India's Hindu offers clothing like cold to his father",https://www.facebook.com/AmitShahFansTeamLive/photos/a.926601194179646/2132034833636270/?type=3
पुष्पेंद्र कुलश्रेष्ठ फैंस क्लब,,,दोस्तों सऊदी अरब का एक भी असली मुस्लिम अजमेर में नहीं जाता लेकिन भारत का हिंदू ऐसे चादर चढ़ाता है जैसे उसके सगे बाप को ठंड लग रही हो,But what about you?,But what about you?,"Friends from Saudi Arabia don't go to a real Muslim Amer, but India's Hindu offers clothing like cold to his father",https://www.facebook.com/Pushpendrarss2/photos/a.113240587126961/571572687960413/?type=3
RSS Fan Club,"आमिर खान की गर्लफ्रेंड फातिमा सना शेख बिना ब्याह रचाए बनने वाली है मां, लोगों ने आमिर खान पर लगाए घिनौने आरोप....",बॉलीवुड की अभिनेत्री फातिमा सना शेख का बड़े सितारों में नाम गिना जाता है और उन्होंने बॉलीवुड में आमिर खान के साथ ड.....,,"Aamir Khan's girlfriend is going to be married without a husband, people have accused Aamir Khan of awful accusations....","Bhuiwood's analogian für da Shear is named in big stars, and he's called Amir Khan in Baliwood..............",But what about you?,https://appearnews.com/fatima-sana-shaikh-is-going-to-become-a-mother-without-getting-married/
Kusum singh,,,दोस्तों सऊदी अरब का एक भी असली मुस्लिम अजमेर में नहीं जाता लेकिन भारत का हिंदू ऐसे चादर चढ़ाता है जैसे उसके सगे बाप को ठंड लग रही हो,But what about you?,But what about you?,"Friends from Saudi Arabia don't go to a real Muslim Amer, but India's Hindu offers clothing like cold to his father",https://www.facebook.com/kusumsingh1429/photos/a.102289827988441/630623225155096/?type=3
Bharat Trend,"आमिर खान की गर्लफ्रेंड फातिमा सना शेख बिना ब्याह रचाए बनने वाली है मां, लोगों ने आमिर खान पर लगाए घिनौने आरोप....",बॉलीवुड की अभिनेत्री फातिमा सना शेख का बड़े सितारों में नाम गिना जाता है और उन्होंने बॉलीवुड में आमिर खान के साथ ड.....,,"Aamir Khan's girlfriend is going to be married without a husband, people have accused Aamir Khan of awful accusations....","Bhuiwood's analogian für da Shear is named in big stars, and he's called Amir Khan in Baliwood..............",But what about you?,https://appearnews.com/fatima-sana-shaikh-is-going-to-become-a-mother-without-getting-married/
IndiaVirals,"आमिर खान की गर्लफ्रेंड फातिमा सना शेख बिना ब्याह रचाए बनने वाली है मां, लोगों ने आमिर खान पर लगाए घिनौने आरोप....",बॉलीवुड की अभिनेत्री फातिमा सना शेख का बड़े सितारों में नाम गिना जाता है और उन्होंने बॉलीवुड में आमिर खान के साथ ड.....,,"Aamir Khan's girlfriend is going to be married without a husband, people have accused Aamir Khan of awful accusations....","Bhuiwood's analogian für da Shear is named in big stars, and he's called Amir Khan in Baliwood..............",But what about you?,https://appearnews.com/fatima-sana-shaikh-is-going-to-become-a-mother-without-getting-married/
True Nationalist,"आमिर खान की गर्लफ्रेंड फातिमा सना शेख बिना ब्याह रचाए बनने वाली है मां, लोगों ने आमिर खान पर लगाए घिनौने आरोप....",बॉलीवुड की अभिनेत्री फातिमा सना शेख का बड़े सितारों में नाम गिना जाता है और उन्होंने बॉलीवुड में आमिर खान के साथ ड.....,,"Aamir Khan's girlfriend is going to be married without a husband, people have accused Aamir Khan of awful accusations....","Bhuiwood's analogian für da Shear is named in big stars, and he's called Amir Khan in Baliwood..............",But what about you?,https://appearnews.com/fatima-sana-shaikh-is-going-to-become-a-mother-without-getting-married/
Sanatan Press,"आमिर खान की गर्लफ्रेंड फातिमा सना शेख बिना ब्याह रचाए बनने वाली है मां, लोगों ने आमिर खान पर लगाए घिनौने आरोप....",बॉलीवुड की अभिनेत्री फातिमा सना शेख का बड़े सितारों में नाम गिना जाता है और उन्होंने बॉलीवुड में आमिर खान के साथ ड.....,,"Aamir Khan's girlfriend is going to be married without a husband, people have accused Aamir Khan of awful accusations....","Bhuiwood's analogian für da Shear is named in big stars, and he's called Amir Khan in Baliwood..............",But what about you?,https://appearnews.com/fatima-sana-shaikh-is-going-to-become-a-mother-without-getting-married/
We support hindutva,,,दोस्तों सऊदी अरब का एक भी असली मुस्लिम अजमेर में नहीं जाता लेकिन भारत का हिंदू ऐसे चादर चढ़ाता है जैसे उसके सगे बाप को ठंड लग रही हो,But what about you?,But what about you?,"Friends from Saudi Arabia don't go to a real Muslim Amer, but India's Hindu offers clothing like cold to his father",https://www.facebook.com/photo.php?fbid=576091670753540&set=a.524399242589450&type=3
We Support Hindutva,इस वक्त इस कदम की ज़रूरत सबसे ज्यादा थी,साइबर अटैक इस दौर में किसी भी देश के लिए सबसे बड़ा ख़तरा है। भारत भी इस ख़तरे से निरंतर जूझ रहा है। हाल ही में आई एक ख.....,,There was a need for this step at the moment,"The situation is the biggest threat to any country during this period. India is also struggling with this threat, and recently I have a.............",But what about you?,https://tfipost.in/2022/07/india-is-geared-up-to-fight-the-menace-of-cyber-jihad/
Khabar India ख़बर इंडिया,70 साल के हिंदू शेर ने लगाई ऐसी दहाड़ काँप उठेंगे देश विरोधी क़ानून तोड़ने वालों को जेल में डालो Khabar India,,,A 70 - year - old Hindu lion planted such a fear that the nation would throw anti-government citizens into prison,But what about you?,But what about you?,https://www.facebook.com/khabarindianews/videos/799227201455777/
Sudarshan News,"हरियाणा गर्वेनेस रिफार्म अथॉरिटी के चेयरमैन डा. प्रमोद कुमार ने सीएम धामी से की भेंट, जानें किन-किन मुद्दों पर हुई चर्चा #Hariana #news","मुख्यमंत्री को हरियाणा सरकार द्वारा राज्य में जन सुविधाओं के विकास, सेवाओं की आम जनता तक त्वरित ढंग से पहुंचने सुन...",,"Haray hatred prides the chairman of the National Social Exploitation met CMA's house, what issues were discussed #Harian #S.",The chief heard the development of public services in the state by the Hasays Government to the general population of public services...,But what about you?,https://www.sudarshannews.in/uttarakhand-cm-dhami-met-with-haryana-governess-reform-authority-chairman-65648-newsdetails.aspx
Kattar HINDU,"ME KEISE UNKO APNA MAANLOON , JAB WO MERI PARESHANI DEKH KE MUSHKURATE HE.",,,"MEKEISE UNKONAMANALOON, JABRIERI LEERIERI RECEKIEKH MUSEURTH.",But what about you?,But what about you?,
Sonu Sood Fans Club,"अजय देवगन की ऑनस्क्रीन बेटी ने सोशल मीडिया पर शेयर की बिकनी पहन तस्वीर, पति के साथ खुलमखुल्ला किया रोमांस….",बॉलीवुड इंडस्ट्री के अभिनेता अजय देवगन का एक अपना ही अलग रुतबा है वहीं उन्होंने अपने दम पर बॉलीवुड में अपनी पहचान .....,,"Honnie's buttress on Marshagen's daughter wore a picture of having a share on social media, courting openly with her husband....","The Bhuywood actor is one of his own distinct rank, who identified himself in Bhudiwood on his own...",But what about you?,https://appearnews.com/ajay-devgans-onscreen-daughter-shared-a-bikini-clad-picture-on-social-media-openly-romanced-with-her-husband/
Pushpendra Kulshrestha Fans Club,"आमिर खान की गर्लफ्रेंड फातिमा सना शेख बिना ब्याह रचाए बनने वाली है मां, लोगों ने आमिर खान पर लगाए घिनौने आरोप....",बॉलीवुड की अभिनेत्री फातिमा सना शेख का बड़े सितारों में नाम गिना जाता है और उन्होंने बॉलीवुड में आमिर खान के साथ ड.....,,"Aamir Khan's girlfriend is going to be married without a husband, people have accused Aamir Khan of awful accusations....","Bhuiwood's analogian für da Shear is named in big stars, and he's called Amir Khan in Baliwood..............",But what about you?,https://appearnews.com/fatima-sana-shaikh-is-going-to-become-a-mother-without-getting-married/
